Fold,R2,MAE,MAPE,RMSE
1,0.9061792671441279,9.64649415873016,0.12775049393695156,12.599621397061089
2,0.9538946213823121,5.485006797691194,0.09699085193304527,6.933172048003057
3,0.8771503782168594,8.691963773004767,0.08131823805987727,14.537222681200948
4,0.8744003668327766,7.432606948828956,0.1036658828776023,12.202652477832888
5,0.8587794474819836,6.275581190365179,0.1339517947309485,10.188016173890638
6,0.9170108763293038,5.8918540288600285,0.10711856281347831,7.978015047071071
7,0.9214597415866905,7.45503486380287,0.1037413017091657,10.548389721078642
8,0.931698750966855,8.259366209159277,0.11158608270900727,10.867938774672751
9,0.9331009213545853,6.41285076190476,0.08621515662887796,8.184752583506102
10,0.8387789132794754,9.927288604639811,0.10695581380990608,15.422632587096052
Average,0.9012453284574968,7.5478047336987,0.10592941792088602,10.946241349141323
