Index,Cathode,O,N,B,S,P,SSA,PV,mic/mes,ID/IG,Elyte,Current collector,Active mass loading,PW,CD,Cs
69,SS-0.7,5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,20,57.1
70,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,0.1,133.7
71,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,0.2,102.5
72,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,0.5,84.3
73,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,1,75
74,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,2,69.1
75,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,5,61.7
76,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,10,56.6
77,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,20,51.9
78,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,50,45.6
79,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,100,39.7
80,LPCS-600,11.5,6.7,0,0,0,642,1.03,0.17,0.964,1M ZnSO4,stainless-steel mesh,2,1.6,200,30.6
81,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,0.1,104.4
82,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,0.2,83
83,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,0.5,69.7
84,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,1,61.7
85,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,2,56
86,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,5,50.4
87,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,10,46.6
88,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,20,43.7
89,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,50,39.1
90,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,100,35.4
91,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1M ZnSO4,stainless-steel mesh,2,1.6,200,30.4
92,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,0.1,92.4
93,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,0.2,73.1
94,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,0.5,62.4
95,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,1,56
96,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,2,51.3
97,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,5,45.7
98,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,10,42.3
99,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,20,38.9
100,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,50,33.3
101,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,100,28.7
102,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2,1.6,200,27.2
103,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,0.1,204.7
104,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,0.2,181.5
105,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,0.5,165.9
106,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,1,152.7
107,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,2,141.1
108,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,5,134.2
109,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,10,128.6
117,SMC-700,20.61,3.95,0,0,0,544.8,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2,1.8,0.1,134.5
118,SMC-700,20.61,3.95,0,0,0,544.8,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2,1.8,0.2,110.2
119,SMC-700,20.61,3.95,0,0,0,544.8,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2,1.8,0.4,93
120,SMC-700,20.61,3.95,0,0,0,544.8,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2,1.8,0.5,86.7
121,SMC-700,20.61,3.95,0,0,0,544.8,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2,1.8,1,72.9
122,SMC-700,20.61,3.95,0,0,0,544.8,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2,1.8,2,57
123,SMC-700,20.61,3.95,0,0,0,544.8,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2,1.8,3,48
124,SMC-700,20.61,3.95,0,0,0,544.8,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2,1.8,4,41.5
125,SMC-800,18.15,3.51,0,0,0,648.2,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2,1.8,0.1,156.5
126,SMC-800,18.15,3.51,0,0,0,648.2,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2,1.8,0.2,132.3
127,SMC-800,18.15,3.51,0,0,0,648.2,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2,1.8,0.3,111.6
128,SMC-800,18.15,3.51,0,0,0,648.2,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2,1.8,0.4,105.4
129,SMC-800,18.15,3.51,0,0,0,648.2,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2,1.8,0.5,98.5
