Index,Cathode,O,N,B,S,P,SSA,PV,mic/mes,ID/IG,Elyte,Current collector,Active mass loading,PW,CD,Cs
284,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,2,78.2
285,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,3,74.2
286,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,4,70.8
287,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,5,68.5
288,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,10,60.3
289,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,15,56.5
290,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,20,52.1
291,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,30,44.8
292,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.2,132.9
293,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.5,114.4
294,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,1,108.9
295,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,2,99.4
296,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,3,95.6
297,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,4,91.1
298,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,5,89.9
299,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,10,83.3
300,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,15,80.8
301,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,20,76.6
302,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,30,73.3
303,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,40,68.8
304,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,50,65.2
305,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.2,67.8
306,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.5,59.8
307,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,1,56.8
308,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,2,53.2
309,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,3,51.7
310,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,4,49.9
311,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,5,49.2
312,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,10,45.5
313,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,15,43.7
314,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,20,41.1
315,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,30,37.4
337,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,0.05,181.7
338,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,0.1,132.7
339,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,0.2,116.9
340,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,0.3,106.1
341,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,0.5,98.3
342,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,1,91.1
343,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,2,84.9
344,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,3,81.9
345,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,5,78.2
346,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,10,73.5
347,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,15,68.9
348,C-0.6,11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,20,66.7
360,CK,4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.77,1.6,0.1,52.9
361,CK,4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.77,1.6,0.2,48.7
362,CK,4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.77,1.6,0.5,43.8
363,CK,4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.77,1.6,1,40
364,CK,4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.77,1.6,2,36.5
365,CK,4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.77,1.6,5,31.4
366,CK,4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.77,1.6,10,26.9
367,CK,4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.77,1.6,20,21.4
368,CNPK,4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1M ZnSO4,freestanding,1.77,1.6,0.1,103.2
369,CNPK,4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1M ZnSO4,freestanding,1.77,1.6,0.2,93.7
370,CNPK,4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1M ZnSO4,freestanding,1.77,1.6,0.5,85.3
371,CNPK,4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1M ZnSO4,freestanding,1.77,1.6,1,80.3
372,CNPK,4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1M ZnSO4,freestanding,1.77,1.6,2,74.7
373,CNPK,4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1M ZnSO4,freestanding,1.77,1.6,5,68.2
374,CNPK,4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1M ZnSO4,freestanding,1.77,1.6,10,61
375,CNPK,4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1M ZnSO4,freestanding,1.77,1.6,20,52.8
376,A-CBp,7.94,0,0,0,0,761.6,0.91,1.224,0.98,2M ZnSO4,Titanium foil,1.2,1.6,0.1,42.8
377,AB-CBp,3,0,2.19,0,0,614.3,0.926,0.947,1.01,2M ZnSO4,Titanium foil,1.2,1.6,0.1,83.2
397,NOPC,9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel mesh,1,1.7,0.1,230
398,NOPC,9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel mesh,1,1.7,0.2,165
399,NOPC,9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel mesh,1,1.7,0.5,150
400,NOPC,9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel mesh,1,1.7,1,137
401,NOPC,9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel mesh,1,1.7,2,127
402,NOPC,9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel mesh,1,1.7,5,122
403,NOPC,9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel mesh,1,1.7,10,118
404,SLCS,11.79,1.98,0,0.24,0,1613.9,0.93,11.4,0.98,1M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,1,233
405,SLCS,11.79,1.98,0,0.24,0,1613.9,0.93,11.4,0.98,1M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,2,212
406,SLCS,11.79,1.98,0,0.24,0,1613.9,0.93,11.4,0.98,1M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,5,180.5
407,SLCS,11.79,1.98,0,0.24,0,1613.9,0.93,11.4,0.98,1M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,10,152.5
408,SLCS,11.79,1.98,0,0.24,0,1613.9,0.93,11.4,0.98,1M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,20,124
409,SLCS,11.79,1.98,0,0.24,0,1613.9,0.93,11.4,0.98,1M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,50,83
412,PGCN,6.1,7.2,0,0,0,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel mesh,1,1.6,0.5,181
413,PGCN,6.1,7.2,0,0,0,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel mesh,1,1.6,1,153.3
414,PGCN,6.1,7.2,0,0,0,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel mesh,1,1.6,2,137.2
415,PGCN,6.1,7.2,0,0,0,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel mesh,1,1.6,3,130.2
416,PGCN,6.1,7.2,0,0,0,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel mesh,1,1.6,5,121.7
417,PGCN,6.1,7.2,0,0,0,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel mesh,1,1.6,10,110.4
418,PGCN,6.1,7.2,0,0,0,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel mesh,1,1.6,15,104
419,GCN,4.2,6.3,0,0,0,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel mesh,1,1.6,0.5,110
420,GCN,4.2,6.3,0,0,0,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel mesh,1,1.6,1,97.8
421,GCN,4.2,6.3,0,0,0,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel mesh,1,1.6,2,89.8
422,GCN,4.2,6.3,0,0,0,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel mesh,1,1.6,3,84.9
423,GCN,4.2,6.3,0,0,0,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel mesh,1,1.6,5,78.4
424,GCN,4.2,6.3,0,0,0,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel mesh,1,1.6,10,67.2
425,GCN,4.2,6.3,0,0,0,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel mesh,1,1.6,15,58.2
426,PCN,10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel mesh,1,1.6,0.5,98
427,PCN,10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel mesh,1,1.6,1,81.7
428,PCN,10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel mesh,1,1.6,2,72.2
429,PCN,10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel mesh,1,1.6,3,67
430,PCN,10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel mesh,1,1.6,5,60.7
431,PCN,10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel mesh,1,1.6,10,50.9
432,PCN,10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2M ZnSO4,stainless-steel mesh,1,1.6,15,45.1
439,LHPC-700,11.18,2.79,0,0.77,0,599.3,0.276,2.366,0.81,1M ZnSO4,stainless steel,,1.6,0.1,79.4
440,LHPC-700,11.18,2.79,0,0.77,0,599.3,0.276,2.366,0.81,1M ZnSO4,stainless steel,,1.6,0.2,70.3
441,LHPC-700,11.18,2.79,0,0.77,0,599.3,0.276,2.366,0.81,1M ZnSO4,stainless steel,,1.6,0.5,59.8
442,LHPC-700,11.18,2.79,0,0.77,0,599.3,0.276,2.366,0.81,1M ZnSO4,stainless steel,,1.6,1,50.8
443,LHPC-700,11.18,2.79,0,0.77,0,599.3,0.276,2.366,0.81,1M ZnSO4,stainless steel,,1.6,2,41.6
444,LHPC-700,11.18,2.79,0,0.77,0,599.3,0.276,2.366,0.81,1M ZnSO4,stainless steel,,1.6,5,28.8
445,LHPC-700,11.18,2.79,0,0.77,0,599.3,0.276,2.366,0.81,1M ZnSO4,stainless steel,,1.6,10,22.9
474,TB-DA-25,9.33,6.25,0,0,0,1021,1.07,1.89,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,0.2,122.3
475,TB-DA-25,9.33,6.25,0,0,0,1021,1.07,1.89,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,0.5,108.1
476,TB-DA-25,9.33,6.25,0,0,0,1021,1.07,1.89,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,1,103.8
477,TB-DA-25,9.33,6.25,0,0,0,1021,1.07,1.89,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,2,94.2
478,TB-DA-25,9.33,6.25,0,0,0,1021,1.07,1.89,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,5,85.6
479,TB-DA-25,9.33,6.25,0,0,0,1021,1.07,1.89,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,10,76
480,TB-DA-25,9.33,6.25,0,0,0,1021,1.07,1.89,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,20,59.1
481,TB-DA-50,8,8.12,0,0,0,1685,1.2,0.508,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,0.2,153.8
482,TB-DA-50,8,8.12,0,0,0,1685,1.2,0.508,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,0.5,146.9
483,TB-DA-50,8,8.12,0,0,0,1685,1.2,0.508,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,1,127.3
484,TB-DA-50,8,8.12,0,0,0,1685,1.2,0.508,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,2,117
485,TB-DA-50,8,8.12,0,0,0,1685,1.2,0.508,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,5,108.7
486,TB-DA-50,8,8.12,0,0,0,1685,1.2,0.508,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,10,95.5
487,TB-DA-50,8,8.12,0,0,0,1685,1.2,0.508,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,20,82.3
488,TB-DA-80,9.75,7.83,0,0,0,2370,2.18,0.319,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,0.2,250
489,TB-DA-80,9.75,7.83,0,0,0,2370,2.18,0.319,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,0.5,217.5
490,TB-DA-80,9.75,7.83,0,0,0,2370,2.18,0.319,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,1,184.3
491,TB-DA-80,9.75,7.83,0,0,0,2370,2.18,0.319,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,2,163.5
492,TB-DA-80,9.75,7.83,0,0,0,2370,2.18,0.319,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,5,156.8
493,TB-DA-80,9.75,7.83,0,0,0,2370,2.18,0.319,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,10,151.9
494,TB-DA-80,9.75,7.83,0,0,0,2370,2.18,0.319,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10,1.8,20,149.2
497,N-PC,4.41,12.14,0,0,0,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,0.2,138.5
498,N-PC,4.41,12.14,0,0,0,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,0.5,112.9
499,N-PC,4.41,12.14,0,0,0,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,1,98.1
500,N-PC,4.41,12.14,0,0,0,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,2,89.3
501,N-PC,4.41,12.14,0,0,0,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,5,77.6
502,N-PC,4.41,12.14,0,0,0,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,10,69
503,N-PC,4.41,12.14,0,0,0,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,20,61.8
504,N-PC,4.41,12.14,0,0,0,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,40,48.7
505,N-PC,4.41,12.14,0,0,0,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,60,38.7
506,N-PC,4.41,12.14,0,0,0,494,0.27,1.7,3.1,2M ZnSO4,stainless steel,1,1.6,80,28.8
507,N-HOPC,5.51,5.19,0,0,0,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,0.2,149.9
508,N-HOPC,5.51,5.19,0,0,0,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,0.5,128.2
509,N-HOPC,5.51,5.19,0,0,0,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,1,112.4
510,N-HOPC,5.51,5.19,0,0,0,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,2,102.5
511,N-HOPC,5.51,5.19,0,0,0,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,5,90.9
512,N-HOPC,5.51,5.19,0,0,0,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,10,83.2
513,N-HOPC,5.51,5.19,0,0,0,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,20,73.8
514,N-HOPC,5.51,5.19,0,0,0,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,40,63.3
515,N-HOPC,5.51,5.19,0,0,0,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,60,55.4
516,N-HOPC,5.51,5.19,0,0,0,642,0.58,0.184,3.5,2M ZnSO4,stainless steel,1,1.6,80,46.9
517,PN-HOPC,11.74,6.67,0,0,4.7,1702,1.29,0.675,4.4,2M ZnSO4,stainless steel,1,1.6,0.2,212
518,PN-HOPC,11.74,6.67,0,0,4.7,1702,1.29,0.675,4.4,2M ZnSO4,stainless steel,1,1.6,0.5,189.9
519,PN-HOPC,11.74,6.67,0,0,4.7,1702,1.29,0.675,4.4,2M ZnSO4,stainless steel,1,1.6,1,171.8
520,PN-HOPC,11.74,6.67,0,0,4.7,1702,1.29,0.675,4.4,2M ZnSO4,stainless steel,1,1.6,2,155.1
521,PN-HOPC,11.74,6.67,0,0,4.7,1702,1.29,0.675,4.4,2M ZnSO4,stainless steel,1,1.6,5,145.9
522,PN-HOPC,11.74,6.67,0,0,4.7,1702,1.29,0.675,4.4,2M ZnSO4,stainless steel,1,1.6,10,134.2
523,PN-HOPC,11.74,6.67,0,0,4.7,1702,1.29,0.675,4.4,2M ZnSO4,stainless steel,1,1.6,20,126.2
524,PN-HOPC,11.74,6.67,0,0,4.7,1702,1.29,0.675,4.4,2M ZnSO4,stainless steel,1,1.6,40,114
525,PN-HOPC,11.74,6.67,0,0,4.7,1702,1.29,0.675,4.4,2M ZnSO4,stainless steel,1,1.6,60,104.4
526,PN-HOPC,11.74,6.67,0,0,4.7,1702,1.29,0.675,4.4,2M ZnSO4,stainless steel,1,1.6,80,93.4
532,YP-50F,7.41,0.53,0,0,0,1398.2,0.79,2.038,0.7,1M ZnSO4,stainless steel,1,1.6,0.2,94.6
533,YP-50F,7.41,0.53,0,0,0,1398.2,0.79,2.038,0.7,1M ZnSO4,stainless steel,1,1.6,0.5,84
534,YP-50F,7.41,0.53,0,0,0,1398.2,0.79,2.038,0.7,1M ZnSO4,stainless steel,1,1.6,0.8,80.3
535,YP-50F,7.41,0.53,0,0,0,1398.2,0.79,2.038,0.7,1M ZnSO4,stainless steel,1,1.6,1,77.9
536,YP-50F,7.41,0.53,0,0,0,1398.2,0.79,2.038,0.7,1M ZnSO4,stainless steel,1,1.6,2,75
537,YP-50F,7.41,0.53,0,0,0,1398.2,0.79,2.038,0.7,1M ZnSO4,stainless steel,1,1.6,5,71.3
538,YP-50F,7.41,0.53,0,0,0,1398.2,0.79,2.038,0.7,1M ZnSO4,stainless steel,1,1.6,8,67.5
539,YP-50F,7.41,0.53,0,0,0,1398.2,0.79,2.038,0.7,1M ZnSO4,stainless steel,1,1.6,10,65.7
540,C-750,6.75,2.16,1.16,0,0,2363.2,1.33,0.663,0.79,1M ZnSO4,stainless steel,1,1.6,0.2,135.3
541,C-750,6.75,2.16,1.16,0,0,2363.2,1.33,0.663,0.79,1M ZnSO4,stainless steel,1,1.6,0.5,110.1
542,C-750,6.75,2.16,1.16,0,0,2363.2,1.33,0.663,0.79,1M ZnSO4,stainless steel,1,1.6,0.8,102.2
543,C-750,6.75,2.16,1.16,0,0,2363.2,1.33,0.663,0.79,1M ZnSO4,stainless steel,1,1.6,1,99.2
544,C-750,6.75,2.16,1.16,0,0,2363.2,1.33,0.663,0.79,1M ZnSO4,stainless steel,1,1.6,2,92.6
545,C-750,6.75,2.16,1.16,0,0,2363.2,1.33,0.663,0.79,1M ZnSO4,stainless steel,1,1.6,5,86.7
546,C-750,6.75,2.16,1.16,0,0,2363.2,1.33,0.663,0.79,1M ZnSO4,stainless steel,1,1.6,8,83.9
547,C-750,6.75,2.16,1.16,0,0,2363.2,1.33,0.663,0.79,1M ZnSO4,stainless steel,1,1.6,10,82
548,LC-650,10.36,3.74,1.11,0,0,804,0.53,1.944,0.75,1M ZnSO4,stainless steel,1,1.6,0.2,144.6
549,LC-650,10.36,3.74,1.11,0,0,804,0.53,1.944,0.75,1M ZnSO4,stainless steel,1,1.6,0.5,122.9
550,LC-650,10.36,3.74,1.11,0,0,804,0.53,1.944,0.75,1M ZnSO4,stainless steel,1,1.6,0.8,112.8
551,LC-650,10.36,3.74,1.11,0,0,804,0.53,1.944,0.75,1M ZnSO4,stainless steel,1,1.6,1,107.1
552,LC-650,10.36,3.74,1.11,0,0,804,0.53,1.944,0.75,1M ZnSO4,stainless steel,1,1.6,2,96.7
553,LC-650,10.36,3.74,1.11,0,0,804,0.53,1.944,0.75,1M ZnSO4,stainless steel,1,1.6,5,85.6
554,LC-650,10.36,3.74,1.11,0,0,804,0.53,1.944,0.75,1M ZnSO4,stainless steel,1,1.6,8,77.1
555,LC-650,10.36,3.74,1.11,0,0,804,0.53,1.944,0.75,1M ZnSO4,stainless steel,1,1.6,10,73.1
556,LC-750,6.89,1.57,1.05,0,0,1678.4,1.04,1.08,0.82,1M ZnSO4,stainless steel,1,1.6,0.2,185.3
557,LC-750,6.89,1.57,1.05,0,0,1678.4,1.04,1.08,0.82,1M ZnSO4,stainless steel,1,1.6,0.5,134.8
558,LC-750,6.89,1.57,1.05,0,0,1678.4,1.04,1.08,0.82,1M ZnSO4,stainless steel,1,1.6,0.8,125
559,LC-750,6.89,1.57,1.05,0,0,1678.4,1.04,1.08,0.82,1M ZnSO4,stainless steel,1,1.6,1,119.7
560,LC-750,6.89,1.57,1.05,0,0,1678.4,1.04,1.08,0.82,1M ZnSO4,stainless steel,1,1.6,2,111.3
561,LC-750,6.89,1.57,1.05,0,0,1678.4,1.04,1.08,0.82,1M ZnSO4,stainless steel,1,1.6,5,101.5
562,LC-750,6.89,1.57,1.05,0,0,1678.4,1.04,1.08,0.82,1M ZnSO4,stainless steel,1,1.6,8,98.6
563,LC-750,6.89,1.57,1.05,0,0,1678.4,1.04,1.08,0.82,1M ZnSO4,stainless steel,1,1.6,10,95.2
564,LC-850,5.49,2.86,1.36,0,0,1590.5,1.32,0.065,0.71,1M ZnSO4,stainless steel,1,1.6,0.2,84
565,LC-850,5.49,2.86,1.36,0,0,1590.5,1.32,0.065,0.71,1M ZnSO4,stainless steel,1,1.6,0.5,69.1
566,LC-850,5.49,2.86,1.36,0,0,1590.5,1.32,0.065,0.71,1M ZnSO4,stainless steel,1,1.6,0.8,64.9
567,LC-850,5.49,2.86,1.36,0,0,1590.5,1.32,0.065,0.71,1M ZnSO4,stainless steel,1,1.6,1,63
568,LC-850,5.49,2.86,1.36,0,0,1590.5,1.32,0.065,0.71,1M ZnSO4,stainless steel,1,1.6,2,58.8
569,LC-850,5.49,2.86,1.36,0,0,1590.5,1.32,0.065,0.71,1M ZnSO4,stainless steel,1,1.6,5,56.9
570,LC-850,5.49,2.86,1.36,0,0,1590.5,1.32,0.065,0.71,1M ZnSO4,stainless steel,1,1.6,8,55.1
571,LC-850,5.49,2.86,1.36,0,0,1590.5,1.32,0.065,0.71,1M ZnSO4,stainless steel,1,1.6,10,53.2
572,SSCR,3.37,0,0,0,0,3252.6,3.428,0.11,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,0.3,98.2
573,SSCR,3.37,0,0,0,0,3252.6,3.428,0.11,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,0.5,94.2
574,SSCR,3.37,0,0,0,0,3252.6,3.428,0.11,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,1,89.5
575,SSCR,3.37,0,0,0,0,3252.6,3.428,0.11,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,3,80.1
576,SSCR,3.37,0,0,0,0,3252.6,3.428,0.11,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,5,76.2
577,SSCR,3.37,0,0,0,0,3252.6,3.428,0.11,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,8,73
578,SSCR,3.37,0,0,0,0,3252.6,3.428,0.11,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,10,67.9
579,SSCR,3.37,0,0,0,0,3252.6,3.428,0.11,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,20,61.2
580,SSCR,3.37,0,0,0,0,3252.6,3.428,0.11,1.02,1M Zn(CF3SO3)2,stainless-steel mesh,1,1.6,30,56.4
