O,N,SSA,Vt,Mic/Mes,ID/IG,Electrolyte,mact,DV,I/m,Cs
5.52,0.89,2276,1.331,0.265,0.872,1,2,1.6,0.5,95.6
4.89,1.74,1666.8,2.42,0.136,0.88,2,2.5,1.6,3,95.6
9.64,3.44,1624,0.918,1.878,0.999,1,2,1.6,1,94.6
8.42,1.64,1949,1.133,0.845,0.917,1,10,1.6,20,94
5.68,1.49,1640.1,1.41,0.489,0.95,2,2,1.6,0.1,93.3
20.61,3.95,544.83,0.26,4.783,0.96,2,2,1.8,0.4,93
11.2,4.2,697,0.83,0.277,0.958,1,2,1.6,0.1,92.4
8.06,0,1020,0.721,1.36,1.1,1,1.2,1.6,15,91.3
4.89,1.74,1666.8,2.42,0.136,0.88,2,2.5,1.6,4,91.1
11.57,0,2085.1,1.72,0.194,0.86,2,2,1.6,1,91.1
4.81,1.09,972.4,1.67,0.21,0.82,2,2.5,1.6,0.5,91
9.64,3.44,1624,0.918,1.878,0.999,1,2,1.6,2,90.4
21.55,3.29,1140.8,0.86,0.157,0.82,3,2.5,1.8,0.1,90.2
5.52,0.89,2276,1.331,0.265,0.872,1,2,1.6,1,90
4.89,1.74,1666.8,2.42,0.136,0.88,2,2.5,1.6,5,89.9
4.2,6.3,543,0.9,0.125,0.99,2,1,1.6,2,89.8
9.3,0,950,0.784,1.143,1.18,1,1.2,1.6,2,86.9
18.15,3.51,648.22,0.32,4.516,1.01,2,2,1.8,1,86.8
5.52,0.89,2276,1.331,0.265,0.872,1,2,1.6,2,86.8
20.61,3.95,544.83,0.26,4.783,0.96,2,2,1.8,0.5,86.7
21.55,3.29,1140.8,0.86,0.157,0.82,3,2.5,1.8,0.25,86.3
6.99,1.59,2465.9,1.29,1.115,0.912,2,2,1.8,0.1,85.9
8.06,0,1020,0.721,1.36,1.1,1,1.2,1.6,20,85.5
4.81,1.09,972.4,1.67,0.21,0.82,2,2.5,1.6,1,84.9
11.57,0,2085.1,1.72,0.194,0.86,2,2,1.6,2,84.9
4.2,6.3,543,0.9,0.125,0.99,2,1,1.6,3,84.9
9.64,3.44,1624,0.918,1.878,0.999,1,2,1.6,5,84.8
5.68,1.49,1640.1,1.41,0.489,0.95,2,2,1.6,0.2,84.6
15.17,1.8,225.22,0.1,6.714,1.08,2,2,1.8,0.1,84.5
11.5,6.7,642,1.03,0.17,0.964,1,2,1.6,0.5,84.3
11.92,0,2228,1.07,1.488,1.5,1,2,1.75,5,84
4.89,1.74,1666.8,2.42,0.136,0.88,2,2.5,1.6,10,83.3
14.9,3.1,620,0.86,0.178,0.962,1,2,1.6,0.2,83
5.52,0.89,2276,1.331,0.265,0.872,1,2,1.6,5,82.4
9.3,0,950,0.784,1.143,1.18,1,1.2,1.6,3,82
11.57,0,2085.1,1.72,0.194,0.86,2,2,1.6,3,81.9
10.8,5.7,1454,0.83,0.122,1.05,2,1,1.6,1,81.7
9.64,3.44,1624,0.918,1.878,0.999,1,2,1.6,20,81.1
5.68,1.49,1640.1,1.41,0.489,0.95,2,2,1.6,0.3,81
4.89,1.74,1666.8,2.42,0.136,0.88,2,2.5,1.6,15,80.8
21.55,3.29,1140.8,0.86,0.157,0.82,3,2.5,1.8,0.5,79.9
9.3,0,950,0.784,1.143,1.18,1,1.2,1.6,4,78.7
5.52,0.89,2276,1.331,0.265,0.872,1,2,1.6,20,78.5
4.2,6.3,543,0.9,0.125,0.99,2,1,1.6,5,78.4
4.81,1.09,972.4,1.67,0.21,0.82,2,2.5,1.6,2,78.2
11.57,0,2085.1,1.72,0.194,0.86,2,2,1.6,5,78.2
4.89,1.74,1666.8,2.42,0.136,0.88,2,2.5,1.6,20,76.6
5.68,1.49,1640.1,1.41,0.489,0.95,2,2,1.6,0.5,76.3
8.2,5.3,879,0.447,1.54,2.27,2,1,1.6,5,76.1
9.3,0,950,0.784,1.143,1.18,1,1.2,1.6,5,75.2
11.5,6.7,642,1.03,0.17,0.964,1,2,1.6,1,75
11.92,0,2228,1.07,1.488,1.5,1,2,1.75,10,75
4.81,1.09,972.4,1.67,0.21,0.82,2,2.5,1.6,3,74.2
11.57,0,2085.1,1.72,0.194,0.86,2,2,1.6,10,73.5
4.89,1.74,1666.8,2.42,0.136,0.88,2,2.5,1.6,30,73.3
11.2,4.2,697,0.83,0.277,0.958,1,2,1.6,0.2,73.1
6.99,1.59,2465.9,1.29,1.115,0.912,2,2,1.8,0.2,73.1
20.61,3.95,544.83,0.26,4.783,0.96,2,2,1.8,1,72.9
10.8,5.7,1454,0.83,0.122,1.05,2,1,1.6,2,72.2
9.3,0,950,0.784,1.143,1.18,1,1.2,1.6,7,72
5.68,1.49,1640.1,1.41,0.489,0.95,2,2,1.6,1,71.6
4.81,1.09,972.4,1.67,0.21,0.82,2,2.5,1.6,4,70.8
18.15,3.51,648.22,0.32,4.516,1.01,2,2,1.8,2,70.5
21.55,3.29,1140.8,0.86,0.157,0.82,3,2.5,1.8,1,70.3
14.9,3.1,620,0.86,0.178,0.962,1,2,1.6,0.5,69.7
11.5,6.7,642,1.03,0.17,0.964,1,2,1.6,2,69.1
11.57,0,2085.1,1.72,0.194,0.86,2,2,1.6,15,68.9
4.89,1.74,1666.8,2.42,0.136,0.88,2,2.5,1.6,40,68.8
6.99,1.59,2465.9,1.29,1.115,0.912,2,2,1.8,0.3,68.7
4.81,1.09,972.4,1.67,0.21,0.82,2,2.5,1.6,5,68.5
6.42,2.75,1301.6,3.04,0.074,0.92,2,2.5,1.6,0.2,67.8
5.68,1.49,1640.1,1.41,0.489,0.95,2,2,1.6,2,67.6
4.2,6.3,543,0.9,0.125,0.99,2,1,1.6,10,67.2
9.3,0,950,0.784,1.143,1.18,1,1.2,1.6,10,67.1
10.8,5.7,1454,0.83,0.122,1.05,2,1,1.6,3,67
11.57,0,2085.1,1.72,0.194,0.86,2,2,1.6,20,66.71
8.2,5.3,879,0.447,1.54,2.27,2,1,1.6,10,66.5
4.89,1.74,1666.8,2.42,0.136,0.88,2,2.5,1.6,50,65.2
5.68,1.49,1640.1,1.41,0.489,0.95,2,2,1.6,3,65.1
6.99,1.59,2465.9,1.29,1.115,0.912,2,2,1.8,0.5,65
21.55,3.29,1140.8,0.86,0.157,0.82,3,2.5,1.8,2,64.8
15.17,1.8,225.22,0.1,6.714,1.08,2,2,1.8,0.2,63.4
5.68,1.49,1640.1,1.41,0.489,0.95,2,2,1.6,5,62.4
11.2,4.2,697,0.83,0.277,0.958,1,2,1.6,0.5,62.4
11.5,6.7,642,1.03,0.17,0.964,1,2,1.6,5,61.7
14.9,3.1,620,0.86,0.178,0.962,1,2,1.6,1,61.7
6.99,1.59,2465.9,1.29,1.115,0.912,2,2,1.8,1,60.8
10.8,5.7,1454,0.83,0.122,1.05,2,1,1.6,5,60.7
9.3,0,950,0.784,1.143,1.18,1,1.2,1.6,15,60.5
4.81,1.09,972.4,1.67,0.21,0.82,2,2.5,1.6,10,60.3
6.42,2.75,1301.6,3.04,0.074,0.92,2,2.5,1.6,0.5,59.8
5.68,1.49,1640.1,1.41,0.489,0.95,2,2,1.6,10,59.5
18.15,3.51,648.22,0.32,4.516,1.01,2,2,1.8,3,59.2
5.68,1.49,1640.1,1.41,0.489,0.95,2,2,1.6,15,58.4
4.2,6.3,543,0.9,0.125,0.99,2,1,1.6,15,58.2
5.68,1.49,1640.1,1.41,0.489,0.95,2,2,1.6,20,57.1
20.61,3.95,544.83,0.26,4.783,0.96,2,2,1.8,2,57
9.3,0,950,0.784,1.143,1.18,1,1.2,1.6,20,57
6.42,2.75,1301.6,3.04,0.074,0.92,2,2.5,1.6,1,56.8
11.5,6.7,642,1.03,0.17,0.964,1,2,1.6,10,56.6
4.81,1.09,972.4,1.67,0.21,0.82,2,2.5,1.6,15,56.5
14.9,3.1,620,0.86,0.178,0.962,1,2,1.6,2,56
11.2,4.2,697,0.83,0.277,0.958,1,2,1.6,1,56
6.99,1.59,2465.9,1.29,1.115,0.912,2,2,1.8,2,55.3
6.42,2.75,1301.6,3.04,0.074,0.92,2,2.5,1.6,2,53.2
4.77,0,1644,0.96,1.33,1.06,1,1.945,1.6,0.1,52.9
6.99,1.59,2465.9,1.29,1.115,0.912,2,2,1.8,3,52.7
4.81,1.09,972.4,1.67,0.21,0.82,2,2.5,1.6,20,52.1
11.5,6.7,642,1.03,0.17,0.964,1,2,1.6,20,51.9
18.15,3.51,648.22,0.32,4.516,1.01,2,2,1.8,4,51.8
6.42,2.75,1301.6,3.04,0.074,0.92,2,2.5,1.6,3,51.7
21.55,3.29,1140.8,0.86,0.157,0.82,3,2.5,1.8,5,51.5
11.2,4.2,697,0.83,0.277,0.958,1,2,1.6,2,51.3
10.8,5.7,1454,0.83,0.122,1.05,2,1,1.6,10,50.9
15.17,1.8,225.22,0.1,6.714,1.08,2,2,1.8,0.4,50.7
14.9,3.1,620,0.86,0.178,0.962,1,2,1.6,5,50.4
6.42,2.75,1301.6,3.04,0.074,0.92,2,2.5,1.6,4,49.9
6.99,1.59,2465.9,1.29,1.115,0.912,2,2,1.8,5,49.2
6.42,2.75,1301.6,3.04,0.074,0.92,2,2.5,1.6,5,49.2
4.77,0,1644,0.96,1.33,1.06,1,1.945,1.6,0.2,48.7
7.71,0,500,0.315,1.645,0.97,1,1.2,1.6,0.5,48.3
20.61,3.95,544.83,0.26,4.783,0.96,2,2,1.8,3,48
14.9,3.1,620,0.86,0.178,0.962,1,2,1.6,10,46.6
11.2,4.2,697,0.83,0.277,0.958,1,2,1.6,5,45.7
11.5,6.7,642,1.03,0.17,0.964,1,2,1.6,50,45.6
6.42,2.75,1301.6,3.04,0.074,0.92,2,2.5,1.6,10,45.5
10.8,5.7,1454,0.83,0.122,1.05,2,1,1.6,15,45.1
15.17,1.8,225.22,0.1,6.714,1.08,2,2,1.8,0.5,45
4.81,1.09,972.4,1.67,0.21,0.82,2,2.5,1.6,30,44.8
6.99,1.59,2465.9,1.29,1.115,0.912,2,2,1.8,10,44.5
4.77,0,1644,0.96,1.33,1.06,1,1.945,1.6,0.5,43.8
14.9,3.1,620,0.86,0.178,0.962,1,2,1.6,20,43.7
6.42,2.75,1301.6,3.04,0.074,0.92,2,2.5,1.6,15,43.7
7.71,0,500,0.315,1.645,0.97,1,1.2,1.6,1,43.4
11.2,4.2,697,0.83,0.277,0.958,1,2,1.6,10,42.3
6.99,1.59,2465.9,1.29,1.115,0.912,2,2,1.8,15,41.6
6.99,1.59,2465.9,1.29,1.115,0.912,2,2,1.8,20,41.6
20.61,3.95,544.83,0.26,4.783,0.96,2,2,1.8,4,41.5
6.42,2.75,1301.6,3.04,0.074,0.92,2,2.5,1.6,20,41.1
4.77,0,1644,0.96,1.33,1.06,1,1.945,1.6,1,40
11.5,6.7,642,1.03,0.17,0.964,1,2,1.6,100,39.7
14.9,3.1,620,0.86,0.178,0.962,1,2,1.6,50,39.1
11.2,4.2,697,0.83,0.277,0.958,1,2,1.6,20,38.9
7.71,0,500,0.315,1.645,0.97,1,1.2,1.6,2,38.9
21.55,3.29,1140.8,0.86,0.157,0.82,3,2.5,1.8,10,38.5
6.42,2.75,1301.6,3.04,0.074,0.92,2,2.5,1.6,30,37.4
4.77,0,1644,0.96,1.33,1.06,1,1.945,1.6,2,36.5
7.71,0,500,0.315,1.645,0.97,1,1.2,1.6,3,36.5
14.9,3.1,620,0.86,0.178,0.962,1,2,1.6,100,35.4
7.71,0,500,0.315,1.645,0.97,1,1.2,1.6,4,34.8
15.17,1.8,225.22,0.1,6.714,1.08,2,2,1.8,1,34.5
11.2,4.2,697,0.83,0.277,0.958,1,2,1.6,50,33.3
7.71,0,500,0.315,1.645,0.97,1,1.2,1.6,5,33.2
4.77,0,1644,0.96,1.33,1.06,1,1.945,1.6,5,31.4
11.5,6.7,642,1.03,0.17,0.964,1,2,1.6,200,30.6
14.9,3.1,620,0.86,0.178,0.962,1,2,1.6,200,30.4
7.71,0,500,0.315,1.645,0.97,1,1.2,1.6,7,30.2
11.2,4.2,697,0.83,0.277,0.958,1,2,1.6,100,28.7
11.2,4.2,697,0.83,0.277,0.958,1,2,1.6,200,27.2
4.77,0,1644,0.96,1.33,1.06,1,1.945,1.6,10,26.9
7.71,0,500,0.315,1.645,0.97,1,1.2,1.6,10,26.7
7.71,0,500,0.315,1.645,0.97,1,1.2,1.6,15,24.7
15.17,1.8,225.22,0.1,6.714,1.08,2,2,1.8,2,24.5
21.55,3.29,1140.8,0.86,0.157,0.82,3,2.5,1.8,20,23.3
7.71,0,500,0.315,1.645,0.97,1,1.2,1.6,20,21.6
4.77,0,1644,0.96,1.33,1.06,1,1.945,1.6,20,21.4
15.17,1.8,225.22,0.1,6.714,1.08,2,2,1.8,3,19.7
15.17,1.8,225.22,0.1,6.714,1.08,2,2,1.8,4,17
