O,N,Specific surface area,Pore volume,Rmic/mes,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,Specific capacity
9.64,3.44,1624,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2,1.6,5,84.8
9.64,3.44,1624,0.918,1.878,0.999,1M ZnSO4,stainless-steel mesh,2,1.6,20,81.1
8.42,1.64,1949,1.133,0.845,0.917,1M ZnSO4,stainless-steel mesh,2,1.6,0.1,159.9
8.42,1.64,1949,1.133,0.845,0.917,1M ZnSO4,stainless-steel mesh,2,1.6,0.2,139.2
8.42,1.64,1949,1.133,0.845,0.917,1M ZnSO4,stainless-steel mesh,10,1.6,0.5,124.8
8.42,1.64,1949,1.133,0.845,0.917,1M ZnSO4,stainless-steel mesh,10,1.6,1,116
8.42,1.64,1949,1.133,0.845,0.917,1M ZnSO4,stainless-steel mesh,10,1.6,2,109.9
8.42,1.64,1949,1.133,0.845,0.917,1M ZnSO4,stainless-steel mesh,10,1.6,5,101.9
8.42,1.64,1949,1.133,0.845,0.917,1M ZnSO4,stainless-steel mesh,10,1.6,20,94
5.52,0.89,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2,1.6,0.1,114.2
5.52,0.89,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2,1.6,0.2,104.8
5.52,0.89,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2,1.6,0.5,95.6
5.52,0.89,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2,1.6,1,90
5.52,0.89,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2,1.6,2,86.8
5.52,0.89,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2,1.6,5,82.4
5.52,0.89,2276,1.331,0.265,0.872,1M ZnSO4,stainless-steel mesh,2,1.6,20,78.5
7.71,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,0.5,48.3
7.71,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,1,43.4
7.71,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,2,38.9
7.71,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,3,36.5
7.71,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,4,34.8
7.71,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,5,33.2
7.71,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,7,30.2
7.71,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,10,26.7
7.71,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,15,24.7
7.71,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,20,21.6
8.06,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,0.5,177.7
8.06,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,1,148.5
8.06,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,2,135.5
8.06,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,3,127.9
8.06,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,4,122.1
8.06,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,5,117
8.06,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,7,107.5
8.06,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,10,102.9
8.06,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,15,91.3
8.06,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,20,85.5
9.3,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,0.5,108.2
9.3,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,1,96.6
9.3,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,2,86.9
9.3,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,3,82
9.3,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,4,78.7
9.3,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,5,75.2
9.3,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,7,72
9.3,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,10,67.1
9.3,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,15,60.5
9.3,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,20,57
4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.2,104.9
4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.5,91
4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,1,84.9
4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,2,78.2
4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,3,74.2
4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,4,70.8
4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,5,68.5
4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,10,60.3
4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,15,56.5
4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,20,52.1
4.81,1.09,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,30,44.8
4.89,1.74,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.2,132.9
4.89,1.74,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.5,114.4
4.89,1.74,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,1,108.9
4.89,1.74,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,2,99.4
4.89,1.74,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,3,95.6
4.89,1.74,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,4,91.1
4.89,1.74,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,5,89.9
4.89,1.74,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,10,83.3
4.89,1.74,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,15,80.8
4.89,1.74,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,20,76.6
4.89,1.74,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,30,73.3
4.89,1.74,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,40,68.8
4.89,1.74,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,50,65.2
6.42,2.75,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.2,67.8
6.42,2.75,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.5,59.8
6.42,2.75,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,1,56.8
6.42,2.75,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,2,53.2
6.42,2.75,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,3,51.7
6.42,2.75,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,4,49.9
6.42,2.75,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,5,49.2
6.42,2.75,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,10,45.5
6.42,2.75,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,15,43.7
6.42,2.75,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,20,41.1
6.42,2.75,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,30,37.4
9.1,3.1,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel mesh,1,1.7,0.1,230
9.1,3.1,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel mesh,1,1.7,0.2,165
9.1,3.1,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel mesh,1,1.7,0.5,150
9.1,3.1,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel mesh,1,1.7,1,137
9.1,3.1,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel mesh,1,1.7,2,127
9.1,3.1,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel mesh,1,1.7,5,122
9.1,3.1,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel mesh,1,1.7,10,118
