Fold,R2,MAE,MAPE,RMSE
1,0.9595036623948109,5.377801103651357,0.11028749376204389,8.1996022110778
2,0.9441157824287146,5.389109726854834,0.06978747037958093,6.953577960168086
3,0.9612251772977737,5.273302211348992,0.07460289103949598,7.7012270450767595
4,0.9668526908712145,4.899374122114541,0.0759183935382868,6.213341678250787
5,0.9220808638185631,7.40094418625619,0.09347165483736411,11.323097195196254
6,0.9099498842140163,7.009957411343286,0.06770471444344178,11.09021084002871
7,0.8293690686805464,8.56847473941871,0.09961873205812222,13.92702037814807
8,0.9195439922696398,5.827308291353365,0.06076469003555261,9.141229848754392
9,0.9745820315550999,4.376557200478971,0.05022579915132089,6.038192056328768
10,0.811874572289999,9.664515363251294,0.14655478621085194,13.837328656853954
Average,0.919909772582038,6.3787344356071545,0.08489366254560612,9.442482786988359
