Index,Cathode,O,N,B,S,P,SSA,Vt,Mic/Mes,ID/IG,Electrolyte,Current collector,mact,DV,I/m,Cs
242,SLCS,11.79,1.98,0,0.24,0,1613.9,0.93,11.4,0.98,4,1,10.0 ,1.8,50,83
243,PGCN,6.1,7.2,0,0,0,1843,1.10 ,0.447,1.01,2,1,1,1.6,0.5,181
244,PGCN,6.1,7.2,0,0,0,1843,1.10 ,0.447,1.01,2,1,1,1.6,1,153.3
245,PGCN,6.1,7.2,0,0,0,1843,1.10 ,0.447,1.01,2,1,1,1.6,2,137.2
246,PGCN,6.1,7.2,0,0,0,1843,1.10 ,0.447,1.01,2,1,1,1.6,3,130.2
247,PGCN,6.1,7.2,0,0,0,1843,1.10 ,0.447,1.01,2,1,1,1.6,5,121.7
248,PGCN,6.1,7.2,0,0,0,1843,1.10 ,0.447,1.01,2,1,1,1.6,10,110.4
249,PGCN,6.1,7.2,0,0,0,1843,1.10 ,0.447,1.01,2,1,1,1.6,15,104
250,GCN,4.2,6.3,0,0,0,543,0.9,0.125,0.99,2,1,1,1.6,0.5,110
251,GCN,4.2,6.3,0,0,0,543,0.9,0.125,0.99,2,1,1,1.6,1,97.8
252,GCN,4.2,6.3,0,0,0,543,0.9,0.125,0.99,2,1,1,1.6,2,89.8
253,GCN,4.2,6.3,0,0,0,543,0.9,0.125,0.99,2,1,1,1.6,3,84.9
254,GCN,4.2,6.3,0,0,0,543,0.9,0.125,0.99,2,1,1,1.6,5,78.4
255,GCN,4.2,6.3,0,0,0,543,0.9,0.125,0.99,2,1,1,1.6,10,67.2
256,GCN,4.2,6.3,0,0,0,543,0.9,0.125,0.99,2,1,1,1.6,15,58.2
257,PCN,10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2,1,1,1.6,0.5,98
258,PCN,10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2,1,1,1.6,1,81.7
259,PCN,10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2,1,1,1.6,2,72.2
260,PCN,10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2,1,1,1.6,3,67
261,PCN,10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2,1,1,1.6,5,60.7
262,PCN,10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2,1,1,1.6,10,50.9
263,PCN,10.8,5.7,0,0,0,1454,0.83,0.122,1.05,2,1,1,1.6,15,45.1
264,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1,1,1.2,1.6,0.5,48.3
265,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1,1,1.2,1.6,1,43.4
266,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1,1,1.2,1.6,2,38.9
267,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1,1,1.2,1.6,3,36.5
268,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1,1,1.2,1.6,4,34.8
269,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1,1,1.2,1.6,5,33.2
270,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1,1,1.2,1.6,7,30.2
271,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1,1,1.2,1.6,10,26.7
272,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1,1,1.2,1.6,15,24.7
273,PCNF-3,7.71,0,0,0,0,500,0.315,1.645,0.97,1,1,1.2,1.6,20,21.6
274,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1,1,1.2,1.6,0.5,177.7
275,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1,1,1.2,1.6,1,148.5
276,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1,1,1.2,1.6,2,135.5
277,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1,1,1.2,1.6,3,127.9
278,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1,1,1.2,1.6,4,122.1
279,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1,1,1.2,1.6,5,117
280,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1,1,1.2,1.6,7,107.5
281,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1,1,1.2,1.6,10,102.9
282,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1,1,1.2,1.6,15,91.3
283,PCNF-4,8.06,0,0,0,0,1020,0.721,1.36,1.1,1,1,1.2,1.6,20,85.5
284,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1,1,1.2,1.6,0.5,108.2
285,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1,1,1.2,1.6,1,96.6
286,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1,1,1.2,1.6,2,86.9
287,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1,1,1.2,1.6,3,82
288,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1,1,1.2,1.6,4,78.7
289,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1,1,1.2,1.6,5,75.2
290,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1,1,1.2,1.6,7,72
291,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1,1,1.2,1.6,10,67.1
292,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1,1,1.2,1.6,15,60.5
293,PCNF-5,9.3,0,0,0,0,950,0.784,1.143,1.18,1,1,1.2,1.6,20,57
294,CBp,7.86,0,0,0,0,57.611,0.2175,0,0.97,2,4,1.35,1.6,0.1,1.3
295,A-CBp,7.94,0,0,0,0,761.62,0.9097,1.224,0.98,2,4,1.35,1.6,0.1,42.8
296,AB-CBp,3,0,2.19,0,0,614.34,0.9263,0.947,1.01,2,4,1.35,1.6,0.1,83.2
297,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1,2,1.25,2,0.1,189.4
298,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1,2,1.25,2,0.2,154.5
299,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1,2,1.25,2,0.5,131.5
300,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1,2,1.25,2,1,130.4
301,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1,2,1.25,2,2,117.9
302,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1,2,1.25,2,3,112.3
303,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1,2,1.25,2,4,107.7
304,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1,2,1.25,2,5,104.9
305,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1,2,1.25,2,7,102.2
306,NTC,3.9,9.7,0,0,0,844,0.41,3.419,0.99,1,2,1.25,2,10,100.3
