Index,Cathode,O,N,B,S,P,SSA,Vt,Mic/Mes,ID/IG,Electrolyte,Current collector,mact,DV,I/m,Cs
56,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1,1,2,1.6,1,61.7
57,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1,1,2,1.6,2,56
58,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1,1,2,1.6,5,50.4
59,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1,1,2,1.6,10,46.6
60,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1,1,2,1.6,20,43.7
61,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1,1,2,1.6,50,39.1
62,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1,1,2,1.6,100,35.4
63,LPCS-700,14.9,3.1,0,0,0,620,0.86,0.178,0.962,1,1,2,1.6,200,30.4
64,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1,1,2,1.6,0.1,92.4
65,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1,1,2,1.6,0.2,73.1
66,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1,1,2,1.6,0.5,62.4
67,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1,1,2,1.6,1,56
68,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1,1,2,1.6,2,51.3
69,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1,1,2,1.6,5,45.7
70,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1,1,2,1.6,10,42.3
71,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1,1,2,1.6,20,38.9
72,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1,1,2,1.6,50,33.3
73,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1,1,2,1.6,100,28.7
74,LPCS-800,11.2,4.2,0,0,0,697,0.83,0.277,0.958,1,1,2,1.6,200,27.2
75,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,4,2,2.4,1.6,0.1,204.7
76,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,4,2,2.4,1.6,0.2,181.5
77,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,4,2,2.4,1.6,0.5,165.9
78,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,4,2,2.4,1.6,1,152.7
79,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,4,2,2.4,1.6,2,141.1
80,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,4,2,2.4,1.6,5,134.2
81,NPCN750,12.04,8.29,0,0,0,1530.9,0.96,0.627,0.86,4,2,2.4,1.6,10,128.6
82,SMC-700,20.61,3.95,0,0,0,544.83,0.26,4.783,0.96,2,4,2,1.8,0.1,134.5
83,SMC-700,20.61,3.95,0,0,0,544.83,0.26,4.783,0.96,2,4,2,1.8,0.2,110.2
84,SMC-700,20.61,3.95,0,0,0,544.83,0.26,4.783,0.96,2,4,2,1.8,0.4,93
85,SMC-700,20.61,3.95,0,0,0,544.83,0.26,4.783,0.96,2,4,2,1.8,0.5,86.7
86,SMC-700,20.61,3.95,0,0,0,544.83,0.26,4.783,0.96,2,4,2,1.8,1,72.9
87,SMC-700,20.61,3.95,0,0,0,544.83,0.26,4.783,0.96,2,4,2,1.8,2,57
88,SMC-700,20.61,3.95,0,0,0,544.83,0.26,4.783,0.96,2,4,2,1.8,3,48
89,SMC-700,20.61,3.95,0,0,0,544.83,0.26,4.783,0.96,2,4,2,1.8,4,41.5
90,SMC-800,18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2,4,2,1.8,0.1,156.54
91,SMC-800,18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2,4,2,1.8,0.2,132.3
92,SMC-800,18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2,4,2,1.8,0.3,111.55
93,SMC-800,18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2,4,2,1.8,0.4,105.4
94,SMC-800,18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2,4,2,1.8,0.5,98.5
95,SMC-800,18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2,4,2,1.8,1,86.8
96,SMC-800,18.15,3.51,0,0,0,648.22,0.32,4.516,1.01,2,4,2,1.8,2,70.5
