O,N,B,S,P,SSA,Vt,mic/mes,ID/IG,Elyte,CurCol,Active mass loading,DV,I/m,Cs
7,1.8,0,0.2,0.3,2263,,7.31,1.43,2M ZnSO4,stainless-steel,,1.6,6,63
7,1.8,0,0.2,0.3,2263,,7.31,1.43,2M ZnSO4,stainless-steel,,1.6,8,49
7,1.8,0,0.2,0.3,2263,,7.31,1.43,2M ZnSO4,stainless-steel,,1.6,10,36
8.2,5.3,0,0,0,879,0.447,1.54,2.27,2M ZnSO4,stainless-steel,1,1.6,0.1,136.8
8.2,5.3,0,0,0,879,0.447,1.54,2.27,2M ZnSO4,stainless-steel,1,1.6,0.5,110.9
8.2,5.3,0,0,0,879,0.447,1.54,2.27,2M ZnSO4,stainless-steel,1,1.6,1,102.6
8.2,5.3,0,0,0,879,0.447,1.54,2.27,2M ZnSO4,stainless-steel,1,1.6,5,76.1
8.2,5.3,0,0,0,879,0.447,1.54,2.27,2M ZnSO4,stainless-steel,1,1.6,10,66.5
5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,0.05,109.66
5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,0.1,93.3
5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,0.2,84.6
5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,0.3,81
5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,0.5,76.3
5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,1,71.6
5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,2,67.6
5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,3,65.1
5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,5,62.4
5.68,1.49,0,0,0,1640.1,1.41,0.489,0.95,2M ZnSO4,Nickel foam,2,1.6,10,59.5
