O,N,B,S,P,SSA,Vt,mic/mes,ID/IG,Elyte,CurCol,Active mass loading,DV,I/m,Cs
4,2.5,0,0,0,2146,2.22,,1.16,1M Zn(CF3SO3)2,graphite paper,2,1.6,20,45.8874
5,2.5,0,0,0,1643,1.39,,1.06,1M Zn(CF3SO3)2,graphite paper,2,1.6,0.25,84
5,2.5,0,0,0,1643,1.39,,1.06,1M Zn(CF3SO3)2,graphite paper,2,1.6,20,45.444
6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,0.05,108.5
6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,0.1,85.9
6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,0.2,73.1
6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,0.3,68.7
6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,0.5,65
6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,1,60.8
6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,2,55.3
6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,3,52.7
6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,5,49.2
6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,10,44.5
6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,15,41.6
6.99,1.59,0,0,0,2465.9,1.29,1.115,0.912,2M ZnSO4,nickel foam,2,1.8,20,41.6
7.87,1.93,0,4,0,3082,1.42,1.152,1.72,2M ZnSO4,stainless-steel,,1.6,0.2,142.7
7.87,1.93,0,4,0,3082,1.42,1.152,1.72,2M ZnSO4,stainless-steel,,1.6,0.5,125
7.87,1.93,0,4,0,3082,1.42,1.152,1.72,2M ZnSO4,stainless-steel,,1.6,1,109.6
7.87,1.93,0,4,0,3082,1.42,1.152,1.72,2M ZnSO4,stainless-steel,,1.6,2,97.2
7.87,1.93,0,4,0,3082,1.42,1.152,1.72,2M ZnSO4,stainless-steel,,1.6,3,89.9
7.87,1.93,0,4,0,3082,1.42,1.152,1.72,2M ZnSO4,stainless-steel,,1.6,5,82.7
3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1.25,2,0.1,189.4
3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1.25,2,0.2,154.5
3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1.25,2,0.5,131.5
3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1.25,2,1,130.4
3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1.25,2,2,117.9
3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1.25,2,3,112.3
3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1.25,2,4,107.7
3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1.25,2,5,104.9
3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1.25,2,7,102.2
3.9,9.7,0,0,0,844,0.41,3.419,0.99,1M ZnSO4,freestanding,1.25,2,10,100.3
3.88,1.95,0,0,0,689.78,,,0.988,2M ZnSO4,Carbon cloth,2,1.6,0.1,7.822222222
22.24,3.48,0,0,6.11,12.39,,,0.989,2M ZnSO4,Carbon cloth,2,1.6,0.1,64.57777778
38.44,4.13,0,0,10.05,15.15,,,0.997,2M ZnSO4,Carbon cloth,2,1.6,0.1,68.93333333
17.68,5.39,0,0,5.45,9.02,,,0.995,2M ZnSO4,Carbon cloth,2,1.6,0.1,75.11111111
24.28,3.52,0,0,7.53,10.21,,,0.996,2M ZnSO4,Carbon cloth,2,1.6,0.1,80.53333333
26.15,4.08,0,0,7.79,9.33,,,0.999,2M ZnSO4,Carbon cloth,2,1.6,0.1,95.64444444
26.15,4.08,0,0,7.79,9.33,,,0.999,2M ZnSO4,Carbon cloth,2,1.6,10,53.02222222
,,0,0,0,1298.3335,1.073,2.992,0.97,2M ZnSO4,stainless-steel,1.4,1.6,0.1,57
,,0,0,0,1298.3335,1.073,2.992,0.97,2M ZnSO4,stainless-steel,1.4,1.6,1,41
,,0,0,0,1298.3335,1.073,2.992,0.97,2M ZnSO4,stainless-steel,1.4,1.6,5,38.7
,,0,0,0,2071.8328,1.73845,1.323,1,2M ZnSO4,stainless-steel,1.4,1.6,0.1,86
,,0,0,0,2071.8328,1.73845,1.323,1,2M ZnSO4,stainless-steel,1.4,1.6,1,70
,,0,0,0,2071.8328,1.73845,1.323,1,2M ZnSO4,stainless-steel,1.4,1.6,5,58.1
,,0,0,0,2668.1012,2.2883,0.962,1.01,2M ZnSO4,stainless-steel,1.4,1.6,0.1,73.8
,,0,0,0,2668.1012,2.2883,0.962,1.01,2M ZnSO4,stainless-steel,1.4,1.6,1,59.8
,,0,0,0,2668.1012,2.2883,0.962,1.01,2M ZnSO4,stainless-steel,1.4,1.6,5,46
4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel,2.5,1.6,0.2,104.9
4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel,2.5,1.6,0.5,91
4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel,2.5,1.6,1,84.9
4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel,2.5,1.6,2,78.2
4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel,2.5,1.6,3,74.2
4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel,2.5,1.6,4,70.8
4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel,2.5,1.6,5,68.5
4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel,2.5,1.6,10,60.3
4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel,2.5,1.6,15,56.5
4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel,2.5,1.6,20,52.1
4.81,1.09,0,0,0,972.4,1.67,0.21,0.82,2M ZnSO4,stainless-steel,2.5,1.6,30,44.8
4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel,2.5,1.6,0.2,132.9
4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel,2.5,1.6,0.5,114.4
4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel,2.5,1.6,1,108.9
4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel,2.5,1.6,2,99.4
4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel,2.5,1.6,3,95.6
4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel,2.5,1.6,4,91.1
4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel,2.5,1.6,5,89.9
4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel,2.5,1.6,10,83.3
4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel,2.5,1.6,15,80.8
4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel,2.5,1.6,20,76.6
4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel,2.5,1.6,30,73.3
4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel,2.5,1.6,40,68.8
4.89,1.74,0,0,0,1666.8,2.42,0.136,0.88,2M ZnSO4,stainless-steel,2.5,1.6,50,65.2
6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel,2.5,1.6,0.2,67.8
6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel,2.5,1.6,0.5,59.8
6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel,2.5,1.6,1,56.8
6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel,2.5,1.6,2,53.2
6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel,2.5,1.6,3,51.7
6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel,2.5,1.6,4,49.9
6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel,2.5,1.6,5,49.2
6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel,2.5,1.6,10,45.5
6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel,2.5,1.6,15,43.7
6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel,2.5,1.6,20,41.1
6.42,2.75,0,0,0,1301.6,3.04,0.074,0.92,2M ZnSO4,stainless-steel,2.5,1.6,30,37.4
,,0,0,0,510,0.679,0.134,1.06,2M ZnSO4,stainless-steel,1,1.6,0.2,119.4
,,0,0,0,510,0.679,0.134,1.06,2M ZnSO4,stainless-steel,1,1.6,0.5,113.1
,,0,0,0,510,0.679,0.134,1.06,2M ZnSO4,stainless-steel,1,1.6,1,108.4
,,0,0,0,510,0.679,0.134,1.06,2M ZnSO4,stainless-steel,1,1.6,2,103.4
,,0,0,0,510,0.679,0.134,1.06,2M ZnSO4,stainless-steel,1,1.6,5,97.8
,,0,0,0,510,0.679,0.134,1.06,2M ZnSO4,stainless-steel,1,1.6,10,95.5
,,0,0,0,510,0.679,0.134,1.06,2M ZnSO4,stainless-steel,1,1.6,20,87.9
,,0,0,0,905,0.47,2.35,1.19,2M ZnSO4,stainless-steel,1,1.6,0.2,49.8
,,0,0,0,905,0.47,2.35,1.19,2M ZnSO4,stainless-steel,1,1.6,0.5,142
,,0,0,0,905,0.47,2.35,1.19,2M ZnSO4,stainless-steel,1,1.6,1,135.5
,,0,0,0,905,0.47,2.35,1.19,2M ZnSO4,stainless-steel,1,1.6,2,129.8
,,0,0,0,905,0.47,2.35,1.19,2M ZnSO4,stainless-steel,1,1.6,5,122.8
,,0,0,0,905,0.47,2.35,1.19,2M ZnSO4,stainless-steel,1,1.6,10,119.9
,,0,0,0,905,0.47,2.35,1.19,2M ZnSO4,stainless-steel,1,1.6,20,110.3
1.91,0.72,0,0,0,1248,0.689,,1.17,2M ZnSO4,stainless-steel,6,1.6,0.1,111
1.91,0.72,0,0,0,1248,0.689,,1.17,2M ZnSO4,stainless-steel,6,1.6,0.2,94.1
1.91,0.72,0,0,0,1248,0.689,,1.17,2M ZnSO4,stainless-steel,6,1.6,0.3,88.2
1.91,0.72,0,0,0,1248,0.689,,1.17,2M ZnSO4,stainless-steel,6,1.6,0.5,82.3
1.91,0.72,0,0,0,1248,0.689,,1.17,2M ZnSO4,stainless-steel,6,1.6,1,76.5
1.91,0.72,0,0,0,1248,0.689,,1.17,2M ZnSO4,stainless-steel,6,1.6,2,69.5
1.91,0.72,0,0,0,1248,0.689,,1.17,2M ZnSO4,stainless-steel,6,1.6,3,63.9
11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,0.05,181.67
11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,0.1,132.7
11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,0.2,116.9
11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,0.3,106.1
11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,0.5,98.3
11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,1,91.1
11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,2,84.9
11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,3,81.9
11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,5,78.2
11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,10,73.5
11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,15,68.9
11.57,0,0,0,0,2085.1,1.72,0.194,0.86,2M ZnSO4,freestanding,2,1.6,20,66.71
4.93,1.02,0,0,0,285.4,,,1.016,1M ZnSO4,freestanding,1.25,1.6,0.1,40
10.77,1.02,0,0,0,353.5,,,1.042,1M ZnSO4,freestanding,1.25,1.6,0.1,43
3.62,3.4,0,0,0,543.5,,,1.109,1M ZnSO4,freestanding,1.25,1.6,0.1,105
13.75,3.71,0,0,0,570.4,,,1.162,1M ZnSO4,freestanding,1.25,1.6,0.1,136
13.75,3.71,0,0,0,570.4,,,1.162,1M ZnSO4,freestanding,1.25,1.6,0.5,101
13.75,3.71,0,0,0,570.4,,,1.162,1M ZnSO4,freestanding,1.25,1.6,1,93
13.75,3.71,0,0,0,570.4,,,1.162,1M ZnSO4,freestanding,1.25,1.6,10,76
13.75,3.71,0,0,0,570.4,,,1.162,1M ZnSO4,freestanding,1.25,1.6,20,68
13.75,3.71,0,0,0,570.4,,,1.162,1M ZnSO4,freestanding,1.25,1.6,30,63
13.75,3.71,0,0,0,570.4,,,1.162,1M ZnSO4,freestanding,1.25,1.6,40,60
13.75,3.71,0,0,0,570.4,,,1.162,1M ZnSO4,freestanding,1.25,1.6,50,57
4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.945,1.6,0.1,52.9
4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.945,1.6,0.2,48.7
4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.945,1.6,0.5,43.8
4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.945,1.6,1,40
4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.945,1.6,2,36.5
4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.945,1.6,5,31.4
4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.945,1.6,10,26.9
4.77,0,0,0,0,1644,0.96,1.33,1.06,1M ZnSO4,freestanding,1.945,1.6,20,21.4
4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1M ZnSO4,freestanding,1.945,1.6,0.1,103.2
4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1M ZnSO4,freestanding,1.945,1.6,0.2,93.7
4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1M ZnSO4,freestanding,1.945,1.6,0.5,85.3
4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1M ZnSO4,freestanding,1.945,1.6,1,80.3
4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1M ZnSO4,freestanding,1.945,1.6,2,74.7
4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1M ZnSO4,freestanding,1.945,1.6,5,68.2
4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1M ZnSO4,freestanding,1.945,1.6,10,61
4.43,2.62,0,0,2.14,2038,1.29,0.497,1.12,1M ZnSO4,freestanding,1.945,1.6,20,52.8
7.86,0,0,0,0,57.611,0.2175,0,0.97,2M ZnSO4,Titanium foil,1.35,1.6,0.1,1.3
7.94,0,0,0,0,761.62,0.9097,1.224,0.98,2M ZnSO4,Titanium foil,1.35,1.6,0.1,42.8
3,0,2.19,0,0,614.34,0.9263,0.947,1.01,2M ZnSO4,Titanium foil,1.35,1.6,0.1,83.2
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,2M ZnSO4 + 0.5M ZnCl2,carbon paper,1.35,1.7,0.1,179.1
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,2M ZnSO4 + 0.5M ZnCl2,carbon paper,1.35,1.7,0.5,102.9
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,2M ZnSO4 + 0.5M ZnCl2,carbon paper,1.35,1.7,1,85.8
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,2M ZnSO4 + 0.5M ZnCl2,carbon paper,1.35,1.7,2,71.5
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,2M ZnSO4 + 0.5M ZnCl2,carbon paper,1.35,1.7,3,63
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,2M ZnSO4 + 0.5M ZnCl2,carbon paper,1.35,1.7,4,56.6
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,2M ZnSO4 + 0.5M ZnCl2,carbon paper,1.35,1.7,5,51.3
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,1M ZnSO4,carbon paper,1.35,1.7,0.1,98.4
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,1M ZnSO4,carbon paper,1.35,1.7,0.5,64.3
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,1M ZnSO4,carbon paper,1.35,1.7,1,54.3
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,1M ZnSO4,carbon paper,1.35,1.7,2,45.1
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,1M ZnSO4,carbon paper,1.35,1.7,3,40.3
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,1M ZnSO4,carbon paper,1.35,1.7,4,36.7
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,1M ZnSO4,carbon paper,1.35,1.7,5,33.7
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,2M ZnSO4,carbon paper,1.35,1.7,0.1,161.7
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,2M ZnSO4,carbon paper,1.35,1.7,0.5,75.6
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,2M ZnSO4,carbon paper,1.35,1.7,1,60.2
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,2M ZnSO4,carbon paper,1.35,1.7,2,49.2
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,2M ZnSO4,carbon paper,1.35,1.7,3,43.3
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,2M ZnSO4,carbon paper,1.35,1.7,4,39.7
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,2M ZnSO4,carbon paper,1.35,1.7,5,36.5
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,3M ZnSO4,carbon paper,1.35,1.7,0.1,104
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,3M ZnSO4,carbon paper,1.35,1.7,0.5,62.4
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,3M ZnSO4,carbon paper,1.35,1.7,1,51.3
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,3M ZnSO4,carbon paper,1.35,1.7,2,43.1
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,3M ZnSO4,carbon paper,1.35,1.7,3,38.1
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,3M ZnSO4,carbon paper,1.35,1.7,4,34.6
10.72,2.83,0,0.63,0,909,0.44,13.667,0.93,3M ZnSO4,carbon paper,1.35,1.7,5,32.1
4.03,5.85,0,0,0,1745,1.48,0.437,,2M ZnSO4,graphite paper,1,1.6,0.1,150.1
10.77,0.15,0,0,0,3823,3.01,0.513,,2M ZnSO4,graphite paper,1,1.6,0.1,257.3
10.77,0.15,0,0,0,3823,3.01,0.513,,2M ZnSO4,graphite paper,1,1.6,0.2,245
10.77,0.15,0,0,0,3823,3.01,0.513,,2M ZnSO4,graphite paper,1,1.6,20,68
4.26,3.29,0,0,0,726,0.44,0.317,0.85,3M Zn(CF3SO3)2,stainless-steel,2,1.8,0.5,132.1
4.26,3.29,0,0,0,726,0.44,0.317,0.85,3M Zn(CF3SO3)2,stainless-steel,2,1.8,2,109.7
4.26,3.29,0,0,0,726,0.44,0.317,0.85,3M Zn(CF3SO3)2,stainless-steel,2,1.8,5,96.5
4.26,3.29,0,0,0,726,0.44,0.317,0.85,3M Zn(CF3SO3)2,stainless-steel,2,1.8,10,88.8
4.26,3.29,0,0,0,726,0.44,0.317,0.85,3M Zn(CF3SO3)2,stainless-steel,2,1.8,20,77.6
4.26,3.29,0,0,0,726,0.44,0.317,0.85,3M Zn(CF3SO3)2,stainless-steel,2,1.8,50,56.1
4.95,4.52,0,0,0,1466,1.07,0.258,0.85,3M Zn(CF3SO3)2,stainless-steel,2,1.8,0.5,199
4.95,4.52,0,0,0,1466,1.07,0.258,0.85,3M Zn(CF3SO3)2,stainless-steel,2,1.8,1,190.1
4.95,4.52,0,0,0,1466,1.07,0.258,0.85,3M Zn(CF3SO3)2,stainless-steel,2,1.8,2,160.7
4.95,4.52,0,0,0,1466,1.07,0.258,0.85,3M Zn(CF3SO3)2,stainless-steel,2,1.8,5,142.3
4.95,4.52,0,0,0,1466,1.07,0.258,0.85,3M Zn(CF3SO3)2,stainless-steel,2,1.8,10,131.4
4.95,4.52,0,0,0,1466,1.07,0.258,0.85,3M Zn(CF3SO3)2,stainless-steel,2,1.8,20,103.9
4.95,4.52,0,0,0,1466,1.07,0.258,0.85,3M Zn(CF3SO3)2,stainless-steel,2,1.8,50,91
5.15,4.72,0,0,0,1780,2.16,0.495,0.84,3M Zn(CF3SO3)2,stainless-steel,2,1.8,0.5,240
5.15,4.72,0,0,0,1780,2.16,0.495,0.84,3M Zn(CF3SO3)2,stainless-steel,2,1.8,1,231.2
5.15,4.72,0,0,0,1780,2.16,0.495,0.84,3M Zn(CF3SO3)2,stainless-steel,2,1.8,2,216.1
5.15,4.72,0,0,0,1780,2.16,0.495,0.84,3M Zn(CF3SO3)2,stainless-steel,2,1.8,5,210
5.15,4.72,0,0,0,1780,2.16,0.495,0.84,3M Zn(CF3SO3)2,stainless-steel,2,1.8,10,194.3
5.15,4.72,0,0,0,1780,2.16,0.495,0.84,3M Zn(CF3SO3)2,stainless-steel,2,1.8,20,173.1
5.15,4.72,0,0,0,1780,2.16,0.495,0.84,3M Zn(CF3SO3)2,stainless-steel,2,1.8,50,161
5.15,4.72,0,0,0,1780,2.16,0.495,0.84,3M Zn(CF3SO3)2,stainless-steel,2,1.8,100,108
5.15,4.72,0,0,0,1780,2.16,0.495,0.84,3M Zn(CF3SO3)2,stainless-steel,5,1.8,0.5,230
5.15,4.72,0,0,0,1780,2.16,0.495,0.84,3M Zn(CF3SO3)2,stainless-steel,10,1.8,0.5,211
5.15,4.72,0,0,0,1780,2.16,0.495,0.84,3M Zn(CF3SO3)2,stainless-steel,20,1.8,0.5,187
5.15,4.72,0,0,0,1780,2.16,0.495,0.84,3M Zn(CF3SO3)2,stainless-steel,30,1.8,0.5,130
9.2,0,0,0,0,3019,,,1,1M Zn(CF3SO3)2,freestanding,1.4,1.6,0.25,206.7
9.2,0,0,0,0,3019,,,1,1M Zn(CF3SO3)2,freestanding,1.4,1.6,0.5,174.9
9.2,0,0,0,0,3019,,,1,1M Zn(CF3SO3)2,freestanding,1.4,1.6,1,156
9.2,0,0,0,0,3019,,,1,1M Zn(CF3SO3)2,freestanding,1.4,1.6,2,140.8
9.2,0,0,0,0,3019,,,1,1M Zn(CF3SO3)2,freestanding,1.4,1.6,5,119.9
9.2,0,0,0,0,3019,,,1,1M Zn(CF3SO3)2,freestanding,1.4,1.6,10,103.3
9.2,0,0,0,0,3019,,,1,1M Zn(CF3SO3)2,freestanding,1.4,1.6,15,93.4
9.2,0,0,0,0,3019,,,1,1M Zn(CF3SO3)2,freestanding,1.4,1.6,20,86
9.2,0,0,0,0,3019,,,1,1M Zn(CF3SO3)2,freestanding,1.4,1.6,50,71.9
9.2,0,0,0,0,3019,,,1,1M Zn(CF3SO3)2,freestanding,10.6,1.6,0.25,154.1
9.2,0,0,0,0,3019,,,1,1M Zn(CF3SO3)2,freestanding,10.6,1.6,1,97
8.91,0,0,0,0,2522.1,,,0.99,1M Zn(CF3SO3)2,freestanding,1.4,1.6,0.25,167.9
8.91,0,0,0,0,2522.1,,,0.99,1M Zn(CF3SO3)2,freestanding,1.4,1.6,20,51.5
8.4,0,0,0,0,433.8,,,0.97,1M Zn(CF3SO3)2,freestanding,1.4,1.6,0.25,75
8.4,0,0,0,0,433.8,,,0.97,1M Zn(CF3SO3)2,freestanding,1.4,1.6,20,8.9
9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel,1,1.7,0.1,230
9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel,1,1.7,0.2,165
9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel,1,1.7,0.5,150
9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel,1,1.7,1,137
9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel,1,1.7,2,127
9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel,1,1.7,5,122
9.1,3.1,0,0,0,1055,0.95,0.583,1.06,2M ZnSO4,stainless-steel,1,1.7,10,118
11.79,1.98,0,0.24,0,1613.9,0.93,11.4,0.98,1M Zn(CF3SO3)2,stainless-steel,10,1.8,1,233
11.79,1.98,0,0.24,0,1613.9,0.93,11.4,0.98,1M Zn(CF3SO3)2,stainless-steel,10,1.8,2,212
11.79,1.98,0,0.24,0,1613.9,0.93,11.4,0.98,1M Zn(CF3SO3)2,stainless-steel,10,1.8,5,180.5
11.79,1.98,0,0.24,0,1613.9,0.93,11.4,0.98,1M Zn(CF3SO3)2,stainless-steel,10,1.8,10,152.5
11.79,1.98,0,0.24,0,1613.9,0.93,11.4,0.98,1M Zn(CF3SO3)2,stainless-steel,10,1.8,20,124
11.79,1.98,0,0.24,0,1613.9,0.93,11.4,0.98,1M Zn(CF3SO3)2,stainless-steel,10,1.8,50,83
6.9,8.1,3,0,0,597,0.46,,1.13,1M ZnSO4,graphite paper,2,1.6,0.5,127.7
6.9,8.1,3,0,0,597,0.46,,1.13,1M ZnSO4,graphite paper,2,1.6,20,42.8
6.1,7.2,0,0,0,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel,1,1.6,0.5,181
6.1,7.2,0,0,0,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel,1,1.6,1,153.3
6.1,7.2,0,0,0,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel,1,1.6,2,137.2
6.1,7.2,0,0,0,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel,1,1.6,3,130.2
6.1,7.2,0,0,0,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel,1,1.6,5,121.7
6.1,7.2,0,0,0,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel,1,1.6,10,110.4
6.1,7.2,0,0,0,1843,1.1,0.447,1.01,2M ZnSO4,stainless-steel,1,1.6,15,104
4.2,6.3,0,0,0,543,0.9,0.125,0.99,2M ZnSO4,stainless-steel,1,1.6,0.5,110
