Fold,R2,MAE,MAPE,RMSE
1,0.9919957657135764,2.6829628047990446,0.055500996307011136,3.6453967807847207
2,0.97841723438957,3.751878267957605,0.05180104791680534,4.321328559490614
3,0.985146507942449,3.1908277606545243,0.0556728999863976,4.76649674889152
4,0.9717215397423831,3.971806112734997,0.05567421781053365,5.7389042212370605
5,0.9256870247083802,6.089063449623534,0.06688870047422303,11.0579722415807
6,0.9314592805490713,5.520235270051433,0.05456099430353744,9.675468299515039
7,0.8739928478109699,6.550219963734255,0.06886202094630973,11.968147382024686
8,0.9712097249095589,4.0285082895562745,0.04333338879990072,5.468249185284878
9,0.9921851954042301,2.3761321392286705,0.03853144481972354,3.3480779908731266
10,0.9126896077294522,6.230255833949418,0.09619310636687622,9.426738845847355
Average,0.9534504728899643,4.439188989228976,0.05870188177313185,6.94167802555297
