Index,Anode,Cathode,O,N,B,S,P,Specific surface area,Pore volume,Vmes/mac,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,Specific capacity
51,Zn foil,AL-KNPC-800,8.42,1.64,0,0,0,1949,1.133,0.614,0.917,1,1,10,1.6,0.1,144.8888889
52,Zn foil,AL-KNPC-800,8.42,1.64,0,0,0,1949,1.133,0.614,0.917,1,1,10,1.6,20,64.44444444
53,Zn foil,AL-KNPC-900,5.52,0.89,0,0,0,2276,1.331,1.052,0.872,1,1,2,1.6,0.1,114.6666667
54,Zn foil,ZMDPC-700,4.5,14.17,0,0,0,1190.9,0.833,0.193,0.91,2,1,2,1.6,0.5,113.6
55,Zn foil,ZMDPC-700,4.5,14.17,0,0,0,1190.9,0.833,0.193,0.91,2,1,2,1.6,1,101.4222222
56,Zn foil,ZMDPC-700,4.5,14.17,0,0,0,1190.9,0.833,0.193,0.91,2,1,2,1.6,2,88.31111111
57,Zn foil,ZMDPC-700,4.5,14.17,0,0,0,1190.9,0.833,0.193,0.91,2,1,2,1.6,5,72.13333333
58,Zn foil,ZMDPC-700,4.5,14.17,0,0,0,1190.9,0.833,0.193,0.91,2,1,2,1.6,10,63.37777778
59,Zn foil,ZMDPC-700,4.5,14.17,0,0,0,1190.9,0.833,0.193,0.91,2,1,2,1.6,20,56.97777778
60,Zn foil,ZMDPC-700,4.5,14.17,0,0,0,1190.9,0.833,0.193,0.91,2,1,2,1.6,50,45.11111111
61,Zn foil,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,0.61,0.912,2,3,2,1.8,0.5,108.5
62,Zn foil,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,0.61,0.912,2,3,2,1.8,1,60.8
63,Zn foil,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,0.61,0.912,2,3,2,1.8,10,44.5
64,Zn foil,MSHPC1.5-800,6.99,1.59,0,0,0,2465.9,1.29,0.61,0.912,2,3,2,1.8,20,41.6
65,Zn foil,MEHC-1,4.81,1.09,0,0,0,972.4,1.67,1.38,0.82,2,1,2.5,1.6,0.2,104.9
66,Zn foil,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,2.13,0.88,2,1,2.5,1.6,0.2,132.9
67,Zn foil,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,2.13,0.88,2,1,2.5,1.6,0.5,114.4
68,Zn foil,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,2.13,0.88,2,1,2.5,1.6,1,108.9
69,Zn foil,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,2.13,0.88,2,1,2.5,1.6,2,99.4
70,Zn foil,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,2.13,0.88,2,1,2.5,1.6,3,95.6
71,Zn foil,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,2.13,0.88,2,1,2.5,1.6,4,91.1
72,Zn foil,MEHC-3,4.89,1.74,0,0,0,1666.8,2.42,2.13,0.88,2,1,2.5,1.6,5,89.9
73,Zn foil,MEHC-5,6.42,2.75,0,0,0,1301.6,3.04,2.83,0.92,2,1,2.5,1.6,0.2,67.8
74,Zn foil,C-0.6,11.57,0,0,0,0,2085.1,1.72,1.44,0.86,2,5,2,1.6,0.05,181.67
75,Zn foil,C-0.6,11.57,0,0,0,0,2085.1,1.72,1.44,0.86,2,5,2,1.6,20,66.71
76,Zn foil,CK,4.77,0,0,0,0,1644,0.96,0.412,1.06,1,5,1.945,1.6,0.1,52.9
77,Zn foil,CK,4.77,0,0,0,0,1644,0.96,0.412,1.06,1,5,1.945,1.6,20,21.4
78,Zn foil,CNPK,4.43,2.62,0,0,2.14,2038,1.29,0.862,1.12,1,5,1.945,1.6,0.1,103.2
79,Zn foil,CNPK,4.43,2.62,0,0,2.14,2038,1.29,0.862,1.12,1,5,1.945,1.6,20,52.8
80,Zn foil,SNPC-800,10.72,2.83,0,0.63,0,909,0.44,0.03,0.93,5,2,1.35,1.7,0.1,179.1
81,Zn foil,SNPC-800,10.72,2.83,0,0.63,0,909,0.44,0.03,0.93,5,2,1.35,1.7,0.5,102.9
82,Zn foil,SNPC-800,10.72,2.83,0,0.63,0,909,0.44,0.03,0.93,5,2,1.35,1.7,1,85.8
83,Zn foil,SNPC-800,10.72,2.83,0,0.63,0,909,0.44,0.03,0.93,5,2,1.35,1.7,2,71.5
84,Zn foil,SNPC-800,10.72,2.83,0,0.63,0,909,0.44,0.03,0.93,5,2,1.35,1.7,3,63
85,Zn foil,SNPC-800,10.72,2.83,0,0.63,0,909,0.44,0.03,0.93,5,2,1.35,1.7,4,56.6
86,Zn foil,SNPC-800,10.72,2.83,0,0.63,0,909,0.44,0.03,0.93,5,2,1.35,1.7,5,51.3
87,Zn foil,CSTHF,4.26,3.29,0,0,0,726,0.44,0.10604,0.85,4,1,2,1.8,0.5,132
88,Zn foil,CSTHF,4.26,3.29,0,0,0,726,0.44,0.10604,0.85,4,1,2,1.8,50,56
89,Zn foil,CSEtOH,4.95,4.52,0,0,0,1466,1.07,0.21935,0.85,4,1,2,1.8,0.5,199
90,Zn foil,CSEtOH,4.95,4.52,0,0,0,1466,1.07,0.21935,0.85,4,1,2,1.8,50,91
91,Zn foil,CSDMF,5.15,4.72,0,0,0,1780,2.16,0.71496,0.84,4,1,2,1.8,0.5,240
92,Zn foil,CSDMF,5.15,4.72,0,0,0,1780,2.16,0.71496,0.84,4,1,2,1.8,50,161
93,Zn foil,CSDMF,5.15,4.72,0,0,0,1780,2.16,0.71496,0.84,4,1,2,1.8,100,108
94,Zn foil,CSDMF,5.15,4.72,0,0,0,1780,2.16,0.71496,0.84,4,1,5,1.8,0.5,230
95,Zn foil,CSDMF,5.15,4.72,0,0,0,1780,2.16,0.71496,0.84,4,1,10,1.8,0.5,211
96,Zn foil,CSDMF,5.15,4.72,0,0,0,1780,2.16,0.71496,0.84,4,1,20,1.8,0.5,187
97,Zn foil,CSDMF,5.15,4.72,0,0,0,1780,2.16,0.71496,0.84,4,1,30,1.8,0.5,130
98,Zn foil,NOPC,9.1,3.1,0,0,0,1055,0.95,0.6,1.06,2,1,1,1.7,0.1,230
99,Zn foil,NOPC,9.1,3.1,0,0,0,1055,0.95,0.6,1.06,2,1,1,1.7,0.2,165
100,Zn foil,NOPC,9.1,3.1,0,0,0,1055,0.95,0.6,1.06,2,1,1,1.7,0.5,150
101,Zn foil,NOPC,9.1,3.1,0,0,0,1055,0.95,0.6,1.06,2,1,1,1.7,1,137
102,Zn foil,NOPC,9.1,3.1,0,0,0,1055,0.95,0.6,1.06,2,1,1,1.7,2,127
103,Zn foil,NOPC,9.1,3.1,0,0,0,1055,0.95,0.6,1.06,2,1,1,1.7,5,122
104,Zn foil,NOPC,9.1,3.1,0,0,0,1055,0.95,0.6,1.06,2,1,1,1.7,10,118
105,Zn foil,SLCS,11.79,1.98,0,0.24,0,1613.9,0.93,0.075,0.98,3,1,10,1.8,1,233
106,Zn foil,SLCS,11.79,1.98,0,0.24,0,1613.9,0.93,0.075,0.98,3,1,10,1.8,2,212
107,Zn foil,SLCS,11.79,1.98,0,0.24,0,1613.9,0.93,0.075,0.98,3,1,10,1.8,5,180.5
108,Zn foil,SLCS,11.79,1.98,0,0.24,0,1613.9,0.93,0.075,0.98,3,1,10,1.8,10,152.5
109,Zn foil,SLCS,11.79,1.98,0,0.24,0,1613.9,0.93,0.075,0.98,3,1,10,1.8,20,124
110,Zn foil,SLCS,11.79,1.98,0,0.24,0,1613.9,0.93,0.075,0.98,3,1,10,1.8,50,83
